Cargo Buscado;Titulo;Empresa;Local;Modelo;Tipo da Vaga;Afirmativa para PcD;Data;Link
advogado;Advogado(a) de Contratos Sr ( Strategic Contracts & International Business);Volkswagen Caminhões e Ônibus;São Paulo - SP;Híbrido;Efetivo;Também p/ PcD;13/08/2026;https://vwco.gupy.io/job/eyJqb2JJZCI6MTIwNzc5MjEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
advogado;Advogado(a) Pleno - Contratos (Commercial & International Agreements);Volkswagen Caminhões e Ônibus;São Paulo - SP;Híbrido;Efetivo;Também p/ PcD;13/08/2026;https://vwco.gupy.io/job/eyJqb2JJZCI6MTIwNzcxOTYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
advogado;Advogado Pleno Trabalhista - Contencioso;Machado Meyer Advogados;São Paulo - SP;Híbrido;Efetivo;Também p/ PcD;13/08/2026;https://machadomeyer.gupy.io/job/eyJqb2JJZCI6MTE5Njc3NTAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
advogado;Advogado(a) Pleno - Tributário Contencioso;Stocche Forbes Advogados;São Paulo - SP;Híbrido;Associado;Não informado;12/08/2026;https://stoccheforbes.gupy.io/job/eyJqb2JJZCI6MTIwNjcyMTcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
advogado;Advogado(a) Sócio(a) de Serviço - Trabalhista;vezzilapolla.legal;São Paulo - SP;Híbrido;Sócio;Também p/ PcD;12/08/2026;https://vlmadv.gupy.io/job/eyJqb2JJZCI6MTIwNjE2MzEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
advogado;Jurídico e Compliance | Advogado(a) Júnior - Foco em Compliance e LGPD | São Paulo - SP;COPASTUR VIAGENS E TURISMO;São Paulo - SP;Híbrido;Efetivo;Também p/ PcD;12/08/2026;https://copastur.gupy.io/job/eyJqb2JJZCI6MTIwNDAxMTYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
advogado;Advogado(a) Contencioso Cível Pleno – São Paulo/SP;Skill Consultoria Empresarial;São Paulo - SP;Presencial;Associado;Não informado;11/08/2026;https://skillconsultoria.gupy.io/job/eyJqb2JJZCI6MTIwNDg2OTksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
advogado;Advogado(a) de Contratos Sênior – São Paulo/SP;Skill Consultoria Empresarial;São Paulo - SP;Presencial;Associado;Não informado;11/08/2026;https://skillconsultoria.gupy.io/job/eyJqb2JJZCI6MTIwNDg1NzEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
advogado;Advogado (a) Sócio(a) de Serviço - Consumidor/ Bancário;vezzilapolla.legal;São Paulo - SP;Híbrido;Sócio;Também p/ PcD;11/08/2026;https://vlmadv.gupy.io/job/eyJqb2JJZCI6MTIwNDc2NTgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
advogado;Advogado Sênior | Propriedade Industrial - Intelecutal;Cimed;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;11/08/2026;https://cimed.gupy.io/job/eyJqb2JJZCI6MTIwNDczMjAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
advogado;Advogado(a) Pleno - Empresarial: M&A;Machado Meyer Advogados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;11/08/2026;https://machadomeyer.gupy.io/job/eyJqb2JJZCI6MTIwMzE0ODUsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
advogado;Advogado(a) Júnior - Empresarial: M&A;Machado Meyer Advogados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;11/08/2026;https://machadomeyer.gupy.io/job/eyJqb2JJZCI6MTIwMzE1MDUsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
Estágio TI;Estágio em TI | São Paulo/SP;Geração Cyrela;São Paulo - SP;Híbrido;Estágio;Também p/ PcD;10/08/2026;https://geracaocyrela.gupy.io/job/eyJqb2JJZCI6MTE5NjAzMTUsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
Estágio TI;Estágio Universitário - Suporte TI;Trabalhe na Mills;São Paulo - SP;Presencial;Estágio;Também p/ PcD;05/08/2026;https://programadeestagiomills.gupy.io/job/eyJqb2JJZCI6MTE5NjExNDIsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
Estágio TI;Estágio Nível Superior - TI - Segurança da Informação;CSN - Companhia Siderúrgica Nacional;São Paulo - SP;Presencial;Estágio;Também p/ PcD;20/07/2026;https://csn.gupy.io/job/eyJqb2JJZCI6MTE2NDkzNDQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
Estágio TI;Estágio em Suporte de TI - HÍBRIDO;#sejaveriter;São Paulo - SP;Híbrido;Efetivo;Também p/ PcD;29/06/2026;https://verity.gupy.io/job/eyJqb2JJZCI6MTE1NTg1NjIsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
Estágio TI;Estágio em TI;BANCO DAYCOVAL;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;12/06/2026;https://bancodaycoval.gupy.io/job/eyJqb2JJZCI6MTE0MDkzNjYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
Estágio TI;Banco de Talentos Estágio em Desenvolvimento - TI;Gertec Brasil;Não informado;Não informado;Não informado;Não informado;15/02/2024;https://gertec.gupy.io/job/eyJqb2JJZCI6NjcyMzc4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal
Analista de Dados Júnior;Analista de Dados Júnior (Investigação de Fraudes);Tokio Marine Seguradora;São Paulo - SP;Híbrido;Efetivo;Também p/ PcD;10/08/2026;https://tokiomarine.gupy.io/job/eyJqb2JJZCI6MTIwMjU2NjgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
Analista de Dados Júnior;Analista de Dados Júnior (Precificação e Inteligência de Negócios);Tokio Marine Seguradora;São Paulo - SP;Híbrido;Efetivo;Também p/ PcD;10/08/2026;https://tokiomarine.gupy.io/job/eyJqb2JJZCI6MTIwMjQyNTksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
Analista de Dados Júnior;Analista de Dados SRO Júnior;Tokio Marine Seguradora;São Paulo - SP;Híbrido;Efetivo;Também p/ PcD;31/07/2026;https://tokiomarine.gupy.io/job/eyJqb2JJZCI6MTE4OTUxMTgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
Analista de Dados Júnior;ANALISTA DE DADOS JUNIOR | PREVENÇÃO E PERDAS;Riachuelo;São Paulo - SP;Híbrido;Efetivo;Também p/ PcD;30/07/2026;https://riachuelo.gupy.io/job/eyJqb2JJZCI6MTE4Nzk5NDEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal
